slug	display_name	file_pattern	license	source_url	usage_note
youyou-yisong	又又意宋	youyou-yisong.ttf	Needs review	/Users/iw/Downloads/2904-复古怀旧字体	Decorative old Song candidate staged in categories/typewriter-ink.
runzhijia-kangxi	潤植家康熙字典美化體	runzhijia-kangxi.ttf	Needs review	/Users/iw/Downloads/2904-复古怀旧字体	Dictionary-style old print candidate staged in categories/typewriter-ink.
xinyugong-zhengrong	新愚公崢嶸體	xinyugong-zhengrong.ttf	Needs review	/Users/iw/Downloads/2904-复古怀旧字体	Heavy display candidate staged in categories/typewriter-ink.
maoken-kangzhong-zusong	貓啃網扛重族宋	maoken-kangzhong-zusong-full.ttf; maoken-kangzhong-zusong-sc.ttf	Needs review	/Users/iw/Downloads/2904-复古怀旧字体	Heavy display Song candidate staged in categories/typewriter-ink.
new-tegomin	特高敏 / New Tegomin	new-tegomin-regular.ttf	OFL-1.1 indicated in package; verify before publication	/Users/iw/Downloads/2904-复古怀旧字体	Retro display candidate staged in categories/typewriter-ink.
hina-mincho	ひな明朝	hina-mincho-regular.ttf	Needs review	/Users/iw/Downloads/15款打字机中文/ひな明朝	Light Japanese-style Mincho with typewriter feel; staged in categories/typewriter-ink.
tongwen-zidian	同文新字典體	tongwen-zidian.ttf	Needs review	/Users/iw/Downloads/15款打字机中文/同文新字典体	Dictionary-style Sung based on classical typefaces; staged in categories/typewriter-ink.
huan-mingchao	幻影明朝	huan-mingchao.otf	Needs review	/Users/iw/Downloads/15款打字机中文/幻影明朝	Dark atmospheric Ming; poster/display candidate; staged in categories/typewriter-ink.
teko-mincho	特高明朝	teko-mincho.ttf	Needs review	/Users/iw/Downloads/15款打字机中文/特高明朝	High-contrast display Ming; distinct from New Tegomin (特高敏); staged in categories/typewriter-ink.
essays1743	Essays 1743	essays1743.ttf; essays1743-bold.ttf	Needs review	/Users/iw/Downloads/15款打字机英文/Essays	Elegant old-style Roman with typewriter character; staged in categories/typewriter-latin.
mystery-typewriter	Mystery Typewriter	mystery-typewriter.ttf	Needs review	/Users/iw/Downloads/15款打字机英文/MysteryTypewriter	Worn typewriter face; staged in categories/typewriter-latin.
roman-antique	Roman Antique	roman-antique.ttf; roman-antique-italic.ttf; romanum-est.ttf	Needs review	/Users/iw/Downloads/15款打字机英文/Roman	Antique Roman display; staged in categories/typewriter-latin.
carbon	Carbon	carbon.ttf	Needs review	/Users/iw/Downloads/15款打字机英文/carbontype	Carbon-copy typewriter texture; staged in categories/typewriter-latin.
cuomotype	Cuomotype	cuomotype.otf	Needs review	/Users/iw/Downloads/15款打字机英文/cuomotype	Mechanical typewriter face; staged in categories/typewriter-latin.
gabriele	Gabriele	gabriele-d.ttf; gabriele-bad.ttf; gabriele-l.ttf	Needs review	/Users/iw/Downloads/15款打字机英文/gabriele	Typewriter family with worn/light/dark variants; staged in categories/typewriter-latin.
harting	Harting	harting-plain.ttf	Needs review	/Users/iw/Downloads/15款打字机英文/harting	Plain typewriter monospace; staged in categories/typewriter-latin.
holstein	Holstein	holstein.ttf; holstein-bold.ttf	Needs review	/Users/iw/Downloads/15款打字机英文/holstein	Typewriter serif; staged in categories/typewriter-latin.
jackwrite	Jackwrite	jackwrite.ttf; jackwrite-bold.ttf; jackwrite-thin.ttf	Needs review	/Users/iw/Downloads/15款打字机英文/jackwrite	Typewriter family (thin/regular/bold); staged in categories/typewriter-latin.
kingthings-trypewriter-2	Kingthings Trypewriter 2	kingthings-trypewriter-2.ttf	Needs review	/Users/iw/Downloads/15款打字机英文/kingthings-trypewriter-2	Rough-hewn typewriter face; staged in categories/typewriter-latin.
mcgarey	McGarey	mcgarey-regular.ttf	Needs review	/Users/iw/Downloads/15款打字机英文/mcgarey	Classic proportional typewriter face; staged in categories/typewriter-latin.
radio-newsman	Radio Newsman	radio-newsman.ttf	Needs review	/Users/iw/Downloads/15款打字机英文/radio-newsman	Broadcast-era typewriter feel; staged in categories/typewriter-latin.
schreibmaschine	Schreibmaschine	schreibmaschine.ttf	Needs review	/Users/iw/Downloads/15款打字机英文/schreibmaschine	German typewriter face; staged in categories/typewriter-latin.
typeo	TypeO	typeo.ttf	Needs review	/Users/iw/Downloads/15款打字机英文/typeo	Slightly distressed typewriter; staged in categories/typewriter-latin.
veteran-typewriter	Veteran Typewriter	veteran-typewriter.ttf	Needs review	/Users/iw/Downloads/15款打字机英文/veteran-typewriter	Heavy-inked mechanical typewriter; staged in categories/typewriter-latin.
